datetime;codigo_maquina;mac_address;cpu;ram;disco;mb_enviados;mb_recebidos;processos_ativos;tempo_boot;cpu_status;cpu_status_critico;ram_status;ram_status_critico;disco_status;disco_status_critico;mb_enviados_status;mb_enviados_status_critico;mb_recebidos_status;mb_recebidos_status_critico
2025-10-26 07:24:00;COD001;ac:f2:3c:00:8f:3f;34.230488536266485;78.39070482092879;58.42463624618987;37.9668316022938;33.09662215458478;346;1764241555.0;;;;CRITICO;;;;;;
2025-10-26 07:31:12;COD001;ac:f2:3c:00:8f:3f;12.424666751408125;47.52550448179044;37.43331315003444;35.48775236888439;6.214630923619892;342;1764241555.0;;;;;;;;;;
2025-10-26 07:38:24;COD001;ac:f2:3c:00:8f:3f;21.957149620682287;60.83446429976095;51.91520820276472;40.773014491319465;7.921187615707594;346;1764241555.0;;;NORMAL;;;;;;;
2025-10-26 07:45:36;COD001;ac:f2:3c:00:8f:3f;29.597683803536903;57.556784017667745;49.049445851917596;14.778546354360342;12.340869581873799;350;1764241555.0;;;;;;;;;;
2025-10-26 07:52:48;COD001;ac:f2:3c:00:8f:3f;30.00074600732913;61.799046167043095;50.00432645041131;49.27668511204007;28.408268562566374;343;1764241555.0;;;NORMAL;;;;;;;
2025-10-26 08:00:00;COD001;ac:f2:3c:00:8f:3f;22.982890367793743;52.57442678898003;47.173406481434185;23.59020710277911;25.637763853609677;347;1764241555.0;;;;;;;;;;
2025-10-26 08:07:12;COD001;ac:f2:3c:00:8f:3f;19.570409261113237;55.9196912564839;50.186091325812;40.97874642669676;8.334932691943388;343;1764241555.0;;;;;;;;;;
2025-10-26 08:14:24;COD001;ac:f2:3c:00:8f:3f;41.95133050875816;64.56264894418722;51.35817281319643;45.63170476642786;46.39968327556048;347;1764241555.0;;;NORMAL;;;;;;;
2025-10-26 08:21:36;COD001;ac:f2:3c:00:8f:3f;25.780384376841386;56.34159510932113;47.7566311945229;14.64676841623528;29.88619324312306;340;1764241555.0;;;;;;;;;;
2025-10-26 08:28:48;COD001;ac:f2:3c:00:8f:3f;24.15638829312527;59.837046459296204;47.98625608715788;34.8353710728515;14.693888121922424;349;1764241555.0;;;;;;;;;;
