datetime;codigo_maquina;mac_address;cpu;ram;disco;mb_enviados;mb_recebidos;processos_ativos;tempo_boot
2025-10-26 09:48:00;COD001;ac:f2:3c:00:8f:3f;15.229811864890179;52.8305571005755;43.05244447340933;37.00864438909684;11.484931440130659;347;1764241555.0
2025-10-26 09:55:12;COD001;ac:f2:3c:00:8f:3f;30.217950841467186;49.98147535573615;46.706955301991236;20.023143052165544;34.338355389235566;348;1764241555.0
2025-10-26 10:02:24;COD001;ac:f2:3c:00:8f:3f;22.676493882835157;54.722738496060174;39.36733235605056;23.757939682520593;15.89772446572763;349;1764241555.0
2025-10-26 10:09:36;COD001;ac:f2:3c:00:8f:3f;29.05656074789917;54.27418835415905;45.75016094550351;28.036801589499508;32.807868502121174;349;1764241555.0
2025-10-26 10:16:48;COD001;ac:f2:3c:00:8f:3f;19.647930531105622;59.50732027512824;48.53858918813572;47.64164813207311;6.686010060982227;349;1764241555.0
2025-10-26 10:24:00;COD001;ac:f2:3c:00:8f:3f;33.20932515453232;59.88846956300827;53.53944220936145;13.376637767988091;37.65857082294085;347;1764241555.0
2025-10-26 10:31:12;COD001;ac:f2:3c:00:8f:3f;27.835286858016897;68.30959480018899;48.84943311304654;22.13660923146585;9.879657344983118;344;1764241555.0
2025-10-26 10:38:24;COD001;ac:f2:3c:00:8f:3f;17.187888675750365;49.6988294029083;38.65867748704047;33.5374770505154;5.837222211530771;347;1764241555.0
2025-10-26 10:45:36;COD001;ac:f2:3c:00:8f:3f;31.111300876970226;65.17791651763937;51.19307635003543;39.05309687285658;35.61508558150733;350;1764241555.0
2025-10-26 10:52:48;COD001;ac:f2:3c:00:8f:3f;19.351646648083314;53.21860244175109;46.388166359388606;29.548824832158576;8.346683036448654;342;1764241555.0
