datetime;codigo_maquina;mac_address;cpu;ram;disco;mb_enviados;mb_recebidos;processos_ativos;tempo_boot
2025-10-26 02:36:00;COD001;ac:f2:3c:00:8f:3f;21.14164957354975;55.01550586270792;50.416778621904214;16.557242526004067;7.324831783923593;353;1764241555.0
2025-10-26 02:43:12;COD001;ac:f2:3c:00:8f:3f;18.39069151043537;46.07453541985036;45.427196254173516;16.287692612686456;17.255353746827545;352;1764241555.0
2025-10-26 02:50:24;COD001;ac:f2:3c:00:8f:3f;24.958067574044804;57.96533131631435;48.7737311248227;30.56039248618128;10.365003826666197;352;1764241555.0
2025-10-26 02:57:36;COD001;ac:f2:3c:00:8f:3f;22.188052858041576;52.74782882820654;47.281529615298545;13.935417750529735;14.58026199143922;355;1764241555.0
2025-10-26 03:04:48;COD001;ac:f2:3c:00:8f:3f;23.01580832612341;59.53676993494279;46.62314809264179;20.77265081196906;23.60049352353271;350;1764241555.0
2025-10-26 03:12:00;COD001;ac:f2:3c:00:8f:3f;24.460117524903197;57.048400025658864;52.089706797654195;19.21905332129431;18.091435829690546;351;1764241555.0
2025-10-26 03:19:12;COD001;ac:f2:3c:00:8f:3f;18.824072929490438;49.649884298282345;43.620539266893466;13.184869904554235;12.021123193831654;346;1764241555.0
2025-10-26 03:26:24;COD001;ac:f2:3c:00:8f:3f;23.06873111004422;42.86331875283164;40.022668369438875;10.001211696997068;21.65281300660046;354;1764241555.0
2025-10-26 03:33:36;COD001;ac:f2:3c:00:8f:3f;29.024961917501294;58.014346287679565;49.80950430039267;46.31445155734422;16.157644602985783;347;1764241555.0
2025-10-26 03:40:48;COD001;ac:f2:3c:00:8f:3f;34.936632420062864;58.99170478181175;47.52726367093126;19.919186039828684;19.700270155208692;347;1764241555.0
